Iteration,Time,MaxReturn,MeanKLBefore,LossBefore,ProcessExecTime,Perplexity,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,AverageDiscountedReturn,StdReturn,MeanKL,ItrTime,dLoss,AverageReturn,Entropy,NumTrajs,LossAfter,PolicyExecTime
0,4.889976263046265,-1121.0290887240242,0.0,-1.1444091896350983e-08,0.04346013069152832,20590.2,1.0,3.849325656890869,2.7067237340361316e-13,-1854.1989425970542,-663.159853085863,162.8665136651331,0.006412544287741184,4.889979124069214,0.024986957862973114,-1534.79736503413,9.93257,50,-0.02498696930706501,0.10019207000732422
1,9.432140827178955,-1252.4795170898262,0.0,-1.5020370502938363e-09,0.04652047157287598,20641.277,1.0003593,4.004398584365845,0.2757060123321783,-1899.5806817216787,-678.5431653748396,157.5476231647703,0.006424658000469208,4.539574384689331,0.02905493638217449,-1572.5686480964944,9.935048,50,-0.02905493788421154,0.09425139427185059
2,14.143208742141724,-1227.2697103166454,0.0,-2.2721289738569794e-08,0.08394455909729004,20717.836,1.0008898,4.146865129470825,0.947027184462167,-1854.7989465755572,-673.8158172005656,163.3144929518465,0.009904533624649048,4.70837140083313,0.029693130034209148,-1559.8623807029376,9.93875,50,-0.029693152755498886,0.1094977855682373
3,18.699898719787598,-1215.2415038971078,0.0,3.5166741740866314e-10,0.04748725891113281,20770.836,1.0012604,3.717684507369995,0.7136502932644329,-1958.4503250332775,-663.391498301037,175.58069193840308,0.006519816815853119,4.554056882858276,0.025005050355196012,-1536.752304113581,9.941305,50,-0.025005050003528595,0.08612060546875
4,23.479377508163452,-1232.5344564911204,0.0,4.76837147544984e-09,0.04553675651550293,20624.158,1.0002489,3.9435133934020996,0.9829861628836127,-2044.1550481757674,-675.3417224346824,180.5494127846523,0.0064370217733085155,4.77678656578064,0.02382554776966561,-1565.1187995398689,9.934218,50,-0.023825543001294136,0.09246993064880371
5,27.940202474594116,-1218.2269188469138,0.0,5.197525076994225e-09,0.0453953742980957,20500.91,0.99939454,3.9063658714294434,0.5277660617036477,-1952.6720279404226,-687.145939019344,180.16017359657647,0.006450943183153868,4.455699443817139,0.023231826332211547,-1589.9360983138208,9.928225,50,-0.02323182113468647,0.0947120189666748
6,32.339274406433105,-1172.6595905356305,0.0,-1.2493133638713516e-08,0.04443717002868652,20432.828,0.99893093,3.8625879287719727,0.985904432114576,-1904.3864898615143,-670.165337214352,149.27144507874323,0.006408656481653452,4.396450996398926,0.02594460974037638,-1550.8068019466634,9.924898,50,-0.025944622233510017,0.09259533882141113
7,36.99503040313721,-1127.1340019509207,0.0,-1.4877318932349226e-08,0.04704928398132324,20034.184,0.9961271,4.12122368812561,0.9700695838199188,-1902.8611761847428,-686.8536892703855,197.18663223650907,0.009987276047468185,4.653140306472778,0.03083229626119177,-1591.3511293828858,9.905195,50,-0.030832311138510704,0.10487723350524902
8,41.723488569259644,-1279.0139241579727,0.0,1.7881394143159923e-08,0.04702496528625488,19868.193,0.99496293,4.159008502960205,0.970434215481812,-1926.2268129666743,-676.7160735032486,163.2123687163498,0.0065000588074326515,4.723505973815918,0.026683611050248857,-1567.5044918711094,9.896875,50,-0.026683593168854713,0.1025075912475586
9,46.17040276527405,-1207.0000102302024,0.0,1.8835068615885575e-08,0.04452252388000488,19604.668,0.99307746,3.9060730934143066,0.9828166780362145,-1888.1930070332844,-668.0164085883348,172.1861414952982,0.0064083281904459,4.444324493408203,0.02493727786839095,-1545.125376944271,9.883523,50,-0.024937259033322334,0.09474658966064453
10,50.77194261550903,-1218.025053008326,0.0,-4.1294097030686316e-08,0.04517078399658203,19026.664,0.9888487,4.040161848068237,0.9806838404876868,-1859.8260530305183,-655.680990602782,165.07580546214103,0.0065639144740998745,4.598711967468262,0.02476516893208114,-1519.3583647365867,9.853597,50,-0.02476521022617817,0.10190868377685547
11,55.39479088783264,-1226.180357756576,0.0,-4.243850604268573e-09,0.04531240463256836,18906.273,0.9879594,4.07930588722229,0.9820608246043625,-1863.7050943682102,-670.157588339763,148.31143882806538,0.009895876049995422,4.620073318481445,0.030638964328169926,-1550.7155707877253,9.847249,50,-0.03063896857202053,0.10315132141113281
12,59.86558198928833,-1152.8726883538197,0.0,4.3606757316183575e-08,0.045445919036865234,18739.795,0.98670334,3.921985149383545,0.9611390733206877,-1982.6439904776892,-661.7766316712791,195.06228974396075,0.0064673409797251225,4.465757131576538,0.025182324296235237,-1536.0895119425886,9.838405,50,-0.02518228068947792,0.09425926208496094
13,64.52648091316223,-1184.1965890216457,0.0,2.3019314454586493e-08,0.045661211013793945,18470.21,0.98467624,4.112953186035156,0.9728682350417062,-1883.3189187872758,-667.170816187734,194.28976185791066,0.006433666218072176,4.658291339874268,0.02521944299042289,-1545.457676415857,9.823915,50,-0.025219419971108437,0.0989992618560791
14,69.16820740699768,-1206.8996925343818,0.0,-8.940697071579962e-09,0.04607796669006348,18157.518,0.98226583,4.108462572097778,0.9860803752061819,-1898.3711465763956,-675.5787683567371,164.35214468121345,0.009981964714825153,4.639086484909058,0.03172034621238673,-1564.982637080679,9.80684,50,-0.0317203551530838,0.10107874870300293
15,73.69545865058899,-1208.2163692973083,0.0,3.933906533859499e-09,0.04520988464355469,17773.422,0.979282,3.9898321628570557,0.8851719764118198,-2049.4810271536367,-674.0367291586606,213.6998030217163,0.006433209404349327,4.524496793746948,0.024372989520430544,-1563.921915669046,9.7854595,50,-0.02437298558652401,0.09669685363769531
16,78.26643514633179,-1145.643756597119,0.0,-1.7261506002341775e-08,0.04575181007385254,17910.105,0.98036885,4.040050029754639,0.972460121499923,-1879.0127013457175,-665.1353521099462,175.3345239465672,0.009883479215204716,4.5683300495147705,0.03433888542055996,-1535.6966084411117,9.79312,50,-0.034338902682065964,0.10071802139282227
17,82.90222811698914,-974.557593255209,0.0,2.2602081983791322e-08,0.04726266860961914,17460.598,0.976847,4.083317279815674,0.9729097962985077,-1900.3464062562239,-664.5632327367131,192.95602481500435,0.0065468475222587585,4.632944345474243,0.026881674554944723,-1537.0985195163712,9.767702,50,-0.02688165195286274,0.10360836982727051
18,87.42260432243347,-1104.171326577959,0.0,-3.1471252270875993e-09,0.04571104049682617,16975.521,0.97294486,3.9911723136901855,0.9745559286889653,-1812.2125443164039,-643.9596856880381,181.90380414103097,0.006543161813169718,4.517176151275635,0.026359530743956583,-1485.628852153746,9.739528,50,-0.02635953389108181,0.09810423851013184
19,92.08624529838562,-1172.6380367388886,0.0,-9.155273872352154e-09,0.07171392440795898,16908.357,0.97239745,4.091862678527832,0.9383784818965759,-2012.8695577349479,-669.6233031897532,193.17165286823518,0.006513427011668682,4.661065578460693,0.027499728062748474,-1551.9818490809764,9.735563,50,-0.027499737218022346,0.10000109672546387
